"","subplotID","flowerID","garden","species","rater","compound","tot.vase.days","fresh","day"
"1",2,1,1,1,7,1,14,1,1
"2",2,1,1,1,7,1,14,1,2
"3",2,1,1,1,7,1,14,1,3
"4",2,1,1,1,7,1,14,1,4
"5",2,1,1,1,7,1,14,1,5
"6",2,1,1,1,7,1,14,1,6
"7",2,1,1,1,7,1,14,1,7
"8",2,1,1,1,7,1,14,1,8
"9",2,1,1,1,7,1,14,1,9
"10",2,1,1,1,7,1,14,1,10
"11",2,1,1,1,7,1,14,1,11
"12",2,1,1,1,7,1,14,1,12
"13",2,1,1,1,7,1,14,1,13
"14",2,1,1,1,7,1,14,1,14
"15",2,1,1,1,7,1,14,0,15
"16",2,1,1,1,7,1,14,0,16
"17",2,1,1,1,7,1,14,0,17
"18",2,1,1,1,7,1,14,0,18
"19",2,1,1,1,7,1,14,0,19
"20",2,1,1,1,7,1,14,0,20
"21",2,1,1,1,7,1,14,0,21
"22",2,1,1,1,7,1,14,0,22
"23",2,1,1,1,7,1,14,0,23
"24",2,1,1,1,7,1,14,0,24
"25",2,1,1,1,7,1,14,0,25
"26",2,1,1,1,7,1,14,0,26
"27",2,1,1,1,7,1,14,0,27
"28",2,1,1,1,7,1,14,0,28
"29",2,1,1,1,7,1,14,0,29
"30",2,1,1,1,7,1,14,0,30
"31",2,3,1,1,3,1,13,1,1
"32",2,3,1,1,3,1,13,1,2
"33",2,3,1,1,3,1,13,1,3
"34",2,3,1,1,3,1,13,1,4
"35",2,3,1,1,3,1,13,1,5
"36",2,3,1,1,3,1,13,1,6
"37",2,3,1,1,3,1,13,1,7
"38",2,3,1,1,3,1,13,1,8
"39",2,3,1,1,3,1,13,1,9
"40",2,3,1,1,3,1,13,1,10
"41",2,3,1,1,3,1,13,1,11
"42",2,3,1,1,3,1,13,1,12
"43",2,3,1,1,3,1,13,1,13
"44",2,3,1,1,3,1,13,0,14
"45",2,3,1,1,3,1,13,0,15
"46",2,3,1,1,3,1,13,0,16
"47",2,3,1,1,3,1,13,0,17
"48",2,3,1,1,3,1,13,0,18
"49",2,3,1,1,3,1,13,0,19
"50",2,3,1,1,3,1,13,0,20
"51",2,3,1,1,3,1,13,0,21
"52",2,3,1,1,3,1,13,0,22
"53",2,3,1,1,3,1,13,0,23
"54",2,3,1,1,3,1,13,0,24
"55",2,3,1,1,3,1,13,0,25
"56",2,3,1,1,3,1,13,0,26
"57",2,3,1,1,3,1,13,0,27
"58",2,3,1,1,3,1,13,0,28
"59",2,3,1,1,3,1,13,0,29
"60",2,3,1,1,3,1,13,0,30
"61",2,4,1,1,6,1,16,1,1
"62",2,4,1,1,6,1,16,1,2
"63",2,4,1,1,6,1,16,1,3
"64",2,4,1,1,6,1,16,1,4
"65",2,4,1,1,6,1,16,1,5
"66",2,4,1,1,6,1,16,1,6
"67",2,4,1,1,6,1,16,1,7
"68",2,4,1,1,6,1,16,1,8
"69",2,4,1,1,6,1,16,1,9
"70",2,4,1,1,6,1,16,1,10
"71",2,4,1,1,6,1,16,1,11
